769,0,2,5,0,1,1,3,0,0,0,0,0,4,1,1,8,1,0,0,3,0,0,0,0,1
1,776,0,1,1,0,1,9,0,0,4,2,0,1,0,0,0,2,0,0,0,0,0,0,0,2
0,0,775,0,13,0,1,0,0,0,1,1,0,0,2,0,0,2,1,1,3,0,0,0,0,0
6,1,0,767,0,0,2,0,0,0,0,0,0,1,21,2,0,0,0,0,0,0,0,0,0,0
0,0,8,0,780,2,2,0,1,1,0,1,0,0,0,2,1,2,0,0,0,0,0,0,0,0
0,0,0,1,2,775,3,0,0,0,0,0,0,0,0,5,1,2,0,10,0,0,0,0,1,0
13,5,2,1,0,1,621,0,0,1,1,0,0,1,0,1,151,1,0,0,0,0,0,0,1,0
1,1,0,1,0,0,0,767,0,0,6,6,1,13,0,0,0,1,0,1,1,0,0,0,1,0
0,0,1,1,1,3,1,0,459,7,0,321,0,2,0,0,0,1,0,0,0,1,0,0,1,1
0,0,0,8,0,4,3,0,29,737,0,3,0,0,0,0,0,0,6,7,1,1,0,0,1,0
0,0,0,1,1,1,0,3,0,0,782,1,0,0,0,0,0,7,0,0,0,0,0,3,1,0
0,0,11,0,2,0,0,1,84,2,1,695,0,0,0,0,0,2,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,4,0,0,0,0,786,8,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,1,0,0,0,7,0,1,0,0,4,780,0,0,0,1,0,0,2,1,2,1,0,0
3,0,0,14,0,0,0,0,0,0,0,0,0,1,781,0,0,0,0,0,1,0,0,0,0,0
0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,788,2,1,0,1,0,0,0,0,0,0
21,0,0,1,2,2,47,0,0,1,0,1,0,1,4,0,717,0,0,0,1,0,1,0,1,0
3,0,5,0,0,1,1,0,1,0,4,0,0,2,0,0,0,769,0,0,0,11,0,0,2,1
0,1,0,1,1,0,8,0,0,3,0,0,0,2,0,0,1,0,783,0,0,0,0,0,0,0
1,1,5,0,2,8,0,0,1,1,1,0,0,0,1,0,0,1,0,771,0,0,0,3,3,1
3,0,0,2,0,0,1,0,0,2,0,1,0,3,1,0,0,0,1,0,754,27,2,0,3,0
0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,3,0,0,32,750,1,0,10,0
0,0,0,0,0,0,0,2,1,1,1,0,1,11,0,0,1,0,0,0,4,0,778,0,0,0
1,0,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,778,8,0
0,0,0,1,0,0,4,1,0,2,0,1,0,0,0,0,1,3,0,1,0,6,0,5,775,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,795
