epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,2.2201315002485917,0.29578698432162565,0.7463447966612141,0.741637571798626,0.001
2,0.732991584990884,0.7606076152104005,0.291510308895821,0.8942448473927244,0.001
3,0.4902501018461349,0.8409014126803388,0.26911837474117545,0.915193152382025,0.001
4,0.40740347256006415,0.8718827813160825,0.2438233155517619,0.9231895483725645,0.001
5,0.3478034582729223,0.88988851211852,0.2152019535445297,0.929496564928483,0.001
6,0.32099230836602705,0.8967704801111125,0.19786218445114973,0.9336637008672147,0.001
7,0.3067955358434746,0.9020758517999474,0.19299458435176797,0.9372677103277396,0.001
8,0.2831110611829623,0.9082946483314356,0.19287601799219226,0.9387318391710778,0.001
9,0.28320639875448,0.9094333012174827,0.18348722363098313,0.9409843450839058,0.001
10,0.26343371454442155,0.9157271737634355,0.18299297409083665,0.9403085933100575,0.001
