label,precision,recall,f1-score,support
A,0.9355231143552312,0.96125,0.9482120838471023,800.0
B,0.9872773536895675,0.97,0.978562421185372,800.0
C,0.957972805933251,0.96875,0.9633312616532007,800.0
D,0.9445812807881774,0.95875,0.9516129032258065,800.0
E,0.967741935483871,0.975,0.9713574097135741,800.0
F,0.9699624530663329,0.96875,0.9693558474046279,800.0
G,0.8896848137535817,0.77625,0.829105473965287,800.0
H,0.9623588456712673,0.95875,0.960551033187226,800.0
I,0.796875,0.57375,0.6671511627906976,800.0
J,0.9697368421052631,0.92125,0.9448717948717948,800.0
K,0.9666254635352287,0.9775,0.9720323182100684,800.0
L,0.6721470019342359,0.86875,0.7579062159214831,800.0
M,0.9924242424242424,0.9825,0.9874371859296482,800.0
N,0.936374549819928,0.975,0.9552969993876301,800.0
O,0.9630086313193588,0.97625,0.9695841092489137,800.0
P,0.986232790988736,0.985,0.9856160100062539,800.0
Q,0.8110859728506787,0.89625,0.8515439429928741,800.0
R,0.96125,0.96125,0.96125,800.0
S,0.9898862199747156,0.97875,0.9842866121935889,800.0
T,0.9685929648241206,0.96375,0.9661654135338346,800.0
U,0.940149625935162,0.9425,0.9413233458177278,800.0
V,0.9410288582183187,0.9375,0.939261114589856,800.0
W,0.989821882951654,0.9725,0.9810844892812106,800.0
X,0.9848101265822785,0.9725,0.9786163522012579,800.0
Y,0.9567901234567902,0.96875,0.9627329192546584,800.0
Z,0.9925093632958801,0.99375,0.9931292941911305,800.0
macro avg,0.9397866254983798,0.9378846153846153,0.9373606813309548,20800.0
weighted avg,0.9397866254983797,0.9378846153846154,0.9373606813309547,20800.0
